Date,Equipment,Handedness,"Swing Details","Plane Score","Connection Score","Rotation Score","Bat Speed (mph)","Rotational Acceleration (g)","On Plane Efficiency (%)","Attack Angle (deg)","Early Connection (deg)","Connection at Impact (deg)","Vertical Bat Angle (deg)","Power (kW)","Time to Contact (sec)","Peak Hand Speed (mph)","Exit Velocity (mph)","Launch Angle (deg)","Estimated Distance (feet)"
"Jan 22, 2022 06:54:13 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",60,43,49,69.4,12.6,77,10,77,70,-27,3.75,0.16,21,,,
"Jan 22, 2022 06:54:04 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",70,43,45,61.3,10.6,87,-3,74,72,-26,3.05,0.15,19,,,
"Jan 22, 2022 06:53:53 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",69,47,50,60.8,13,86,2,76,76,-26,3.25,0.14,19.9,,,
"Jan 22, 2022 06:53:34 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",72,46,52,63.3,13.6,89,-4,74,76,-26,3.74,0.13,19.2,,,
"Jan 22, 2022 06:53:16 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",70,50,55,69.5,15,87,-4,79,77,-27,4.73,0.13,20,,,
"Jan 22, 2022 06:53:08 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",64,45,54,64,14.3,81,0,78,72,-25,3.76,0.13,18.8,,,
"Jan 22, 2022 06:52:59 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",69,41,52,63.3,13.5,86,-4,71,72,-25,3.64,0.14,19.8,,,
"Jan 22, 2022 06:52:51 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",71,42,44,61,10.3,88,-9,75,70,-26,3.09,0.15,18.7,,,
"Jan 22, 2022 06:42:03 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",59,48,51,70.7,13.2,76,9,79,74,-21,4.11,0.15,20.9,,,
"Jan 22, 2022 06:41:52 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",72,36,54,57,14.7,89,-18,72,62,-29,3.4,0.12,17.4,,,
"Jan 22, 2022 06:41:25 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",66,46,53,66.5,14,83,3,76,75,-25,3.84,0.14,19.4,,,
"Jan 22, 2022 06:41:02 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",52,47,50,64.7,12.8,69,3,82,71,-28,3.11,0.17,17.8,,,
"Jan 22, 2022 06:40:51 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",69,47,46,66.5,11.3,86,-5,78,74,-29,4,0.14,19,,,
"Jan 22, 2022 06:40:34 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",65,50,52,69,13.7,82,3,79,77,-27,4.14,0.14,20.8,,,
"Jan 22, 2022 06:40:14 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",73,42,46,60.2,11.1,90,-3,67,79,-34,2.66,0.17,19.5,,,
"Jan 22, 2022 06:40:06 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",63,46,50,61.4,13.1,80,-5,72,78,-30,3.47,0.13,18.9,,,
"Jan 22, 2022 06:27:29 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",61,57,54,66.7,14.5,77,9,84,78,-22,3.61,0.15,19.7,,,
"Jan 22, 2022 06:27:19 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",66,43,50,61,12.9,83,-7,70,76,-28,3.01,0.15,20.1,,,
"Jan 22, 2022 06:27:11 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",71,48,55,61.9,15,88,-1,73,80,-27,3.37,0.14,20.7,,,
"Jan 22, 2022 06:27:03 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",54,45,44,63.2,10.5,71,15,77,72,-26,2.83,0.17,19,,,
"Jan 22, 2022 06:26:41 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",70,41,59,66.1,16.7,86,2,67,77,-30,4.14,0.13,20.4,,,
"Jan 22, 2022 06:26:14 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",65,46,54,66.2,14.7,82,9,73,77,-29,3.51,0.15,19.1,,,
"Jan 22, 2022 06:26:02 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",69,46,57,61.1,16,85,-9,72,78,-30,3.54,0.13,19.3,,,
"Jan 22, 2022 06:16:40 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",65,45,52,64.4,13.6,82,7,72,77,-24,3.4,0.15,20.2,,,
"Jan 22, 2022 06:16:26 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",63,33,55,67.9,15.1,80,8,60,70,-33,3.68,0.15,21.4,,,
"Jan 22, 2022 06:16:15 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",68,38,56,66.1,15.3,85,-2,65,75,-31,3.69,0.15,21.7,,,
"Jan 22, 2022 06:16:04 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",57,35,57,65.6,15.9,74,11,62,71,-29,3.54,0.15,21.2,,,
"Jan 22, 2022 06:15:56 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",68,45,52,70.5,13.8,84,2,72,78,-33,4.03,0.15,21.9,,,
"Jan 22, 2022 06:15:47 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",72,39,52,65.4,13.8,89,1,62,78,-30,3.77,0.14,21.7,,,
"Jan 22, 2022 06:15:22 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",67,48,58,66,16.2,84,-3,73,81,-28,4.06,0.13,20.8,,,
"Jan 22, 2022 06:15:15 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",69,40,61,63.5,17.5,86,-8,66,76,-31,3.89,0.13,20.5,,,
"Jan 22, 2022 06:15:07 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",68,45,60,64.4,17.1,85,7,70,79,-26,3.65,0.14,21.1,,,
"Jan 22, 2022 06:14:48 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",71,43,54,60.1,14.7,88,-2,70,77,-33,3.14,0.14,19.4,,,
"Jan 22, 2022 06:14:40 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",71,38,54,66.7,14.4,88,2,58,81,-30,3.8,0.14,22.2,,,
"Jan 22, 2022 06:06:28 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",70,46,54,66.9,14.7,87,2,70,81,-27,3.89,0.14,21.1,,,
"Jan 22, 2022 06:06:18 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",63,46,60,62.1,16.9,79,-3,72,79,-32,3.21,0.15,19.7,,,
"Jan 22, 2022 06:06:08 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",63,49,54,66.1,14.3,80,4,73,81,-28,3.79,0.14,20.2,,,
