Date,Equipment,Handedness,"Swing Details","Plane Score","Connection Score","Rotation Score","Bat Speed (mph)","Rotational Acceleration (g)","On Plane Efficiency (%)","Attack Angle (deg)","Early Connection (deg)","Connection at Impact (deg)","Vertical Bat Angle (deg)","Power (kW)","Time to Contact (sec)","Peak Hand Speed (mph)","Exit Velocity (mph)","Launch Angle (deg)","Estimated Distance (feet)"
"Dec 16, 2021 01:09:27 PM","Avenge Pro Composite BBCOR",Right,"General Practice",54,52,56,68.4,15.2,71,13,80,77,-20,3.69,0.16,20.6,,,
"Dec 16, 2021 01:09:20 PM","Avenge Pro Composite BBCOR",Right,"General Practice",70,50,53,69.8,14.3,87,4,73,83,-28,4.54,0.13,21.2,,,
"Dec 16, 2021 01:09:13 PM","Avenge Pro Composite BBCOR",Right,"General Practice",69,49,50,63.6,12.9,86,5,72,82,-23,3.51,0.14,19.8,,,
"Dec 16, 2021 01:09:06 PM","Avenge Pro Composite BBCOR",Right,"General Practice",56,41,58,67.2,16.4,73,10,67,76,-33,3.62,0.15,21.2,,,
"Dec 16, 2021 01:08:57 PM","Avenge Pro Composite BBCOR",Right,"General Practice",61,53,54,68.8,14.7,78,5,77,82,-22,4.23,0.14,20.7,,,
"Dec 16, 2021 01:08:51 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,42,57,68.4,15.6,84,5,67,78,-26,4.3,0.13,21.7,,,
"Dec 16, 2021 01:08:40 PM","Avenge Pro Composite BBCOR",Right,"General Practice",56,53,52,64.3,13.6,73,11,80,78,-20,2.93,0.17,19.1,,,
"Dec 16, 2021 01:08:33 PM","Avenge Pro Composite BBCOR",Right,"General Practice",54,49,59,65.1,16.4,70,9,74,80,-26,3.53,0.15,20.6,,,
"Dec 16, 2021 01:08:28 PM","Avenge Pro Composite BBCOR",Right,"General Practice",56,42,62,64.9,18,72,7,66,80,-32,3.37,0.15,21.2,,,
"Dec 16, 2021 01:06:36 PM","Avenge Pro Composite BBCOR",Right,"General Practice",66,50,61,70.1,17.5,83,2,78,78,-24,4.81,0.13,20.9,,,
"Dec 16, 2021 01:06:26 PM","Avenge Pro Composite BBCOR",Right,"General Practice",59,49,58,67.7,16.2,76,7,78,76,-25,3.98,0.14,20.3,,,
"Dec 16, 2021 01:06:18 PM","Avenge Pro Composite BBCOR",Right,"General Practice",57,45,56,67.4,15.5,74,5,75,74,-29,4,0.14,20.6,,,
"Dec 16, 2021 01:06:12 PM","Avenge Pro Composite BBCOR",Right,"General Practice",69,43,54,66.4,14.5,86,7,70,76,-24,3.88,0.14,20,,,
"Dec 16, 2021 01:06:05 PM","Avenge Pro Composite BBCOR",Right,"General Practice",54,49,49,67.2,12.4,71,8,78,77,-29,3.44,0.16,20.2,,,
"Dec 16, 2021 01:05:59 PM","Avenge Pro Composite BBCOR",Right,"General Practice",58,46,57,67.1,15.8,75,12,73,78,-23,3.75,0.15,20.5,,,
"Dec 16, 2021 01:05:51 PM","Avenge Pro Composite BBCOR",Right,"General Practice",70,40,51,63.3,13.2,87,12,66,76,-22,3.24,0.15,20.5,,,
"Dec 16, 2021 01:05:45 PM","Avenge Pro Composite BBCOR",Right,"General Practice",62,46,46,64.1,11.4,79,12,72,78,-20,3.25,0.16,20.2,,,
"Dec 16, 2021 01:01:28 PM","Avenge Pro Composite BBCOR",Right,"General Practice",49,56,46,65.6,11.4,66,13,86,76,-19,3.2,0.17,19.4,,,
"Dec 16, 2021 01:01:21 PM","Avenge Pro Composite BBCOR",Right,"General Practice",66,49,57,63.9,15.6,82,-3,75,79,-27,3.94,0.13,20.2,,,
"Dec 16, 2021 01:01:15 PM","Avenge Pro Composite BBCOR",Right,"General Practice",61,52,50,72.7,12.8,78,9,79,79,-27,4.66,0.14,21.7,,,
"Dec 16, 2021 01:01:08 PM","Avenge Pro Composite BBCOR",Right,"General Practice",53,52,50,65.5,12.7,70,13,81,76,-21,3.31,0.16,19.1,,,
"Dec 16, 2021 01:01:01 PM","Avenge Pro Composite BBCOR",Right,"General Practice",59,43,62,69.8,17.9,75,8,71,76,-27,4.29,0.14,21.6,,,
"Dec 16, 2021 01:00:56 PM","Avenge Pro Composite BBCOR",Right,"General Practice",61,46,61,69.5,17.3,78,7,74,77,-25,4.44,0.13,21.4,,,
"Dec 16, 2021 01:00:50 PM","Avenge Pro Composite BBCOR",Right,"General Practice",53,58,55,67.4,15.1,70,7,83,80,-22,3.73,0.15,20.1,,,
"Dec 16, 2021 01:00:45 PM","Avenge Pro Composite BBCOR",Right,"General Practice",56,41,56,68.4,15.4,73,10,66,77,-28,4,0.14,21.3,,,
"Dec 16, 2021 12:58:38 PM","Avenge Pro Composite BBCOR",Right,"General Practice",66,41,57,70.7,15.6,83,7,68,75,-28,4.34,0.14,21.8,,,
"Dec 16, 2021 12:58:32 PM","Avenge Pro Composite BBCOR",Right,"General Practice",60,50,55,67.7,15.1,76,10,79,77,-21,3.97,0.14,20,,,
"Dec 16, 2021 12:58:24 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,40,50,63.5,13,84,10,68,74,-22,3.54,0.14,19.4,,,
"Dec 16, 2021 12:58:18 PM","Avenge Pro Composite BBCOR",Right,"General Practice",56,47,57,58.5,15.9,73,9,74,78,-27,2.93,0.14,19,,,
"Dec 16, 2021 12:58:10 PM","Avenge Pro Composite BBCOR",Right,"General Practice",65,39,49,64.5,12.6,82,12,68,73,-21,3.29,0.16,19.3,,,
"Dec 16, 2021 12:58:05 PM","Avenge Pro Composite BBCOR",Right,"General Practice",55,45,57,65,15.6,72,9,74,76,-26,3.62,0.14,20.1,,,
"Dec 16, 2021 12:57:59 PM","Avenge Pro Composite BBCOR",Right,"General Practice",71,43,57,67.2,15.6,88,4,70,76,-23,4.16,0.13,20.3,,,
"Dec 16, 2021 12:57:54 PM","Avenge Pro Composite BBCOR",Right,"General Practice",54,41,56,68,15.2,71,13,72,71,-21,3.85,0.15,21.1,,,
"Dec 16, 2021 12:55:59 PM","Avenge Pro Composite BBCOR",Right,"General Practice",65,50,59,70.8,16.5,82,6,79,76,-19,4.61,0.13,20.9,,,
"Dec 16, 2021 12:55:52 PM","Avenge Pro Composite BBCOR",Right,"General Practice",64,41,58,68.6,16.1,81,11,72,72,-17,4.2,0.14,20.8,,,
"Dec 16, 2021 12:55:45 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,42,59,70,16.6,84,9,69,76,-22,4.32,0.14,21.2,,,
"Dec 16, 2021 12:55:37 PM","Avenge Pro Composite BBCOR",Right,"General Practice",44,54,58,68.2,16.2,61,11,84,75,-20,3.67,0.16,19.9,,,
"Dec 16, 2021 12:55:28 PM","Avenge Pro Composite BBCOR",Right,"General Practice",71,40,60,68.5,17.1,88,1,67,75,-26,4.44,0.13,22.2,,,
"Dec 16, 2021 12:55:22 PM","Avenge Pro Composite BBCOR",Right,"General Practice",50,55,55,67.2,14.8,66,7,84,76,-19,3.53,0.16,20.1,,,
"Dec 16, 2021 12:55:16 PM","Avenge Pro Composite BBCOR",Right,"General Practice",64,46,62,68.6,17.8,81,8,73,77,-19,4.27,0.14,20.8,,,
"Dec 16, 2021 12:55:10 PM","Avenge Pro Composite BBCOR",Right,"General Practice",57,45,61,70.7,17.5,73,11,74,75,-19,4.27,0.14,20.7,,,
"Dec 16, 2021 12:53:10 PM","Avenge Pro Composite BBCOR",Right,"General Practice",52,45,59,67.7,16.6,69,15,78,72,-16,3.72,0.15,19.5,,,
"Dec 16, 2021 12:53:03 PM","Avenge Pro Composite BBCOR",Right,"General Practice",66,42,60,69.8,16.8,83,7,69,76,-23,4.41,0.14,21.7,,,
"Dec 16, 2021 12:52:55 PM","Avenge Pro Composite BBCOR",Right,"General Practice",64,36,59,71.2,16.8,80,8,63,71,-26,4.47,0.14,22.3,,,
"Dec 16, 2021 12:52:48 PM","Avenge Pro Composite BBCOR",Right,"General Practice",54,47,57,67.9,15.7,70,9,77,75,-23,3.51,0.16,20.4,,,
"Dec 16, 2021 12:52:40 PM","Avenge Pro Composite BBCOR",Right,"General Practice",60,41,66,70.9,19.6,76,7,68,76,-28,4.55,0.14,22.2,,,
"Dec 16, 2021 12:52:33 PM","Avenge Pro Composite BBCOR",Right,"General Practice",66,38,60,68.6,17.1,83,13,64,74,-20,4.2,0.14,22.1,,,
"Dec 16, 2021 12:52:26 PM","Avenge Pro Composite BBCOR",Right,"General Practice",56,46,56,63.5,15.4,72,12,75,75,-14,3.06,0.16,19.3,,,
"Dec 16, 2021 12:52:19 PM","Avenge Pro Composite BBCOR",Right,"General Practice",59,47,55,66.2,14.9,76,12,73,79,-21,3.75,0.14,20,,,
"Dec 16, 2021 12:50:37 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,42,54,66.6,14.5,84,11,70,75,-18,3.79,0.14,20.3,,,
"Dec 16, 2021 12:50:26 PM","Avenge Pro Composite BBCOR",Right,"General Practice",70,40,60,68.6,17.2,87,11,67,74,-23,4.4,0.13,21.2,,,
"Dec 16, 2021 12:50:19 PM","Avenge Pro Composite BBCOR",Right,"General Practice",55,47,60,67.3,16.9,72,13,78,73,-17,3.72,0.15,19.2,,,
"Dec 16, 2021 12:50:12 PM","Avenge Pro Composite BBCOR",Right,"General Practice",50,49,57,65.8,15.6,67,12,83,72,-14,3.38,0.16,18.6,,,
"Dec 16, 2021 12:50:02 PM","Avenge Pro Composite BBCOR",Right,"General Practice",54,44,59,66.4,16.7,70,10,74,75,-20,3.72,0.15,19.6,,,
"Dec 16, 2021 12:49:56 PM","Avenge Pro Composite BBCOR",Right,"General Practice",70,40,57,67.5,15.8,87,5,67,76,-26,4.12,0.14,20.7,,,
"Dec 16, 2021 12:49:50 PM","Avenge Pro Composite BBCOR",Right,"General Practice",52,45,58,64.4,16.1,68,10,74,75,-22,3.32,0.15,19.5,,,
"Dec 16, 2021 12:49:44 PM","Avenge Pro Composite BBCOR",Right,"General Practice",56,43,62,67.7,17.9,73,12,68,78,-19,3.98,0.14,20.3,,,
"Dec 16, 2021 12:47:42 PM","Avenge Pro Composite BBCOR",Right,"General Practice",70,42,57,66.3,15.7,87,2,66,79,-26,4.17,0.13,20.7,,,
"Dec 16, 2021 12:47:35 PM","Avenge Pro Composite BBCOR",Right,"General Practice",69,40,47,65.3,11.6,86,7,64,77,-28,3.32,0.16,20.7,,,
"Dec 16, 2021 12:47:28 PM","Avenge Pro Composite BBCOR",Right,"General Practice",70,45,51,65,13.3,87,10,71,78,-19,3.43,0.15,19.6,,,
"Dec 16, 2021 12:47:22 PM","Avenge Pro Composite BBCOR",Right,"General Practice",69,43,58,69.2,16.4,86,3,68,79,-30,4.55,0.13,21.5,,,
"Dec 16, 2021 12:47:07 PM","Avenge Pro Composite BBCOR",Right,"General Practice",60,48,59,62.3,16.8,77,10,74,79,-14,3.19,0.15,18.3,,,
"Dec 16, 2021 12:46:59 PM","Avenge Pro Composite BBCOR",Right,"General Practice",61,50,48,67.3,12.1,77,11,77,78,-13,3.67,0.15,18.8,,,
"Dec 16, 2021 12:46:51 PM","Avenge Pro Composite BBCOR",Right,"General Practice",70,40,56,68.8,15.4,87,8,66,77,-27,4.23,0.14,21.4,,,
"Dec 16, 2021 12:46:45 PM","Avenge Pro Composite BBCOR",Right,"General Practice",57,63,55,73.3,15,73,11,82,85,-20,5.17,0.13,20.7,,,
"Dec 16, 2021 12:45:03 PM","Avenge Pro Composite BBCOR",Right,"General Practice",68,41,48,66.6,12,85,8,67,77,-25,3.7,0.15,20.5,,,
"Dec 16, 2021 12:44:56 PM","Avenge Pro Composite BBCOR",Right,"General Practice",72,41,52,64.9,13.6,88,3,65,79,-29,3.87,0.13,20.8,,,
"Dec 16, 2021 12:44:49 PM","Avenge Pro Composite BBCOR",Right,"General Practice",68,41,50,65.6,12.8,84,8,65,78,-22,3.59,0.15,20.7,,,
"Dec 16, 2021 12:44:42 PM","Avenge Pro Composite BBCOR",Right,"General Practice",62,44,48,65.3,12.2,79,4,68,79,-28,3.71,0.14,20.6,,,
"Dec 16, 2021 12:44:36 PM","Avenge Pro Composite BBCOR",Right,"General Practice",57,40,58,65.8,16,74,9,64,78,-31,3.66,0.15,20.5,,,
"Dec 16, 2021 12:44:30 PM","Avenge Pro Composite BBCOR",Right,"General Practice",59,45,54,59.8,14.5,76,7,69,80,-23,2.86,0.15,18.4,,,
