Date,Equipment,Handedness,"Swing Details","Plane Score","Connection Score","Rotation Score","Bat Speed (mph)","Rotational Acceleration (g)","On Plane Efficiency (%)","Attack Angle (deg)","Early Connection (deg)","Connection at Impact (deg)","Vertical Bat Angle (deg)","Power (kW)","Time to Contact (sec)","Peak Hand Speed (mph)","Exit Velocity (mph)","Launch Angle (deg)","Estimated Distance (feet)"
"Jan 13, 2022 02:40:02 PM","Avenge Pro Composite BBCOR",Right,"General Practice",61,57,57,67.5,15.6,78,4,75,87,-28,3.74,0.15,20.5,,,
"Jan 13, 2022 02:39:43 PM","Avenge Pro Composite BBCOR",Right,"General Practice",71,41,55,64.8,15.2,88,-5,63,81,-35,3.64,0.14,20.1,,,
"Jan 13, 2022 02:39:27 PM","Avenge Pro Composite BBCOR",Right,"General Practice",54,54,55,55.9,15,70,6,75,85,-28,2.41,0.16,19.5,,,
"Jan 13, 2022 02:39:19 PM","Avenge Pro Composite BBCOR",Right,"General Practice",65,42,52,61,13.8,81,5,63,82,-34,2.97,0.15,20.7,,,
"Jan 13, 2022 02:39:01 PM","Avenge Pro Composite BBCOR",Right,"General Practice",64,48,56,54.1,15.4,80,2,66,89,-32,2.5,0.14,19.7,,,
"Jan 13, 2022 02:38:50 PM","Avenge Pro Composite BBCOR",Right,"General Practice",53,48,50,57.1,12.9,70,11,70,83,-29,2.45,0.16,18.7,,,
"Jan 13, 2022 02:38:39 PM","Avenge Pro Composite BBCOR",Right,"General Practice",66,34,52,59.1,13.6,83,10,49,82,-41,2.56,0.17,21.9,,,
"Jan 13, 2022 02:38:31 PM","Avenge Pro Composite BBCOR",Right,"General Practice",55,38,56,57.7,15.4,72,12,57,83,-38,2.54,0.16,20.6,,,
"Jan 13, 2022 02:38:22 PM","Avenge Pro Composite BBCOR",Right,"General Practice",54,44,58,59,16.3,71,11,61,86,-34,2.71,0.16,21.4,,,
"Jan 13, 2022 02:38:15 PM","Avenge Pro Composite BBCOR",Right,"General Practice",61,40,57,60.4,15.7,78,3,55,87,-38,2.71,0.17,22,,,
